Tdu_1	Tdu_2	Tdu_3	Tpo_1	Tpo_2	Tpo_3
TDU_consensed_contig_55445|TPO_consensed_contig_27541	-0.796296658670732	-0.823574559924425	-0.7034132162864	-0.787588652930463	-0.423695899285297	-0.742342998793582
TDU_consensed_contig_43151|TPO_consensed_contig_59204	3.61783887431372	3.89117975515162	3.79261555601447	2.52805317910947	2.48027721294093	2.70655795235155
TDU_consensed_contig_13469|TPO_consensed_contig_48867	0.863627899731646	0.864481433760835	0.750304751156504	-0.101697243358526	0.31326969488091	-0.0286471839502232
TDU_consensed_contig_42282|TPO_consensed_contig_19644	8.31629922934136	8.36194330663286	8.51649182939223	8.97663390351071	9.11916010047848	9.14341437516065
TDU_consensed_contig_37201|TPO_consensed_contig_85445	1.06764179175324	0.991393546243054	1.51449181405773	5.19366837864537	5.51419058591453	5.40902877746037
TDU_consensed_contig_37103|TPO_consensed_contig_34302	2.94786443689968	2.20944049730354	3.1173207355724	0.0464013956306078	-0.338807001698784	-0.993881765789547
TDU_consensed_contig_27826|TPO_consensed_contig_85993	8.62652500835409	8.4996053311724	8.72931022368193	9.04302988786018	9.02069157875236	9.0253780008911
TDU_consensed_contig_79960|TPO_consensed_contig_35107	2.12208957577562	1.78786015215792	2.42407651883552	1.22800820212056	1.99951553143925	1.57958509609378
TDU_consensed_contig_79910|TPO_consensed_contig_95972	1.24634767873776	0.897271368878504	1.07680557583369	2.00173234629688	1.71181907137118	2.06501192326402
TDU_consensed_contig_45491|TPO_consensed_contig_36054	0.899697154439168	0.304180987273948	-0.472087670179944	1.02869939389715	1.1017655896872	0.636168624460148
TDU_consensed_contig_11472|TPO_consensed_contig_28195	1.97769966644044	2.32240474589285	2.1393470419024	2.40994857971971	2.31981254074768	2.20625784869977
TDU_consensed_contig_63585|TPO_consensed_contig_33368	9.39140181771754	9.18428330397188	9.2580364781118	9.14847311711466	8.9191868880689	9.00672191440933
TDU_consensed_contig_77029|TPO_consensed_contig_8511	0.668371608332713	0.611362496792124	1.03981136835149	3.69166440661958	3.81499833438025	3.14127781749209
TDU_consensed_contig_8435|TPO_consensed_contig_36145	4.10866906001329	4.31787034182205	4.45426323943439	3.94859265470331	3.86953188334876	4.15101921197029
TDU_consensed_contig_18338|TPO_consensed_contig_37761	4.11635320622647	3.9587563384507	3.84716629040909	-0.667294419212751	0.0237630776859246	1.45929086237607
TDU_consensed_contig_8661|TPO_consensed_contig_18694	0.668371608332713	0.254427952076848	-0.017521806714463	1.37534991819574	1.96653820899297	0.842619501927574
TDU_consensed_contig_33461|TPO_consensed_contig_73286	3.83364275076881	3.79874846830066	4.03276809134737	4.65319025880494	4.87509569680413	4.63755516473111
TDU_consensed_contig_34100|TPO_consensed_contig_28072	-0.0826008438273728	0.611362496792124	1.18241576379429	2.17266516827678	2.109338809392	1.92668376671605
TDU_consensed_contig_8715|TPO_consensed_contig_13127	4.55561430243235	4.34189079332719	4.43658293187386	3.93440209726821	4.1036626248598	4.21928032949336
TDU_consensed_contig_59018|TPO_consensed_contig_34417	1.97769966644044	1.26702798885648	2.19087734254249	1.31820601109213	1.84479293664061	1.75335216383049
TDU_consensed_contig_54889|TPO_consensed_contig_13029	6.93407157767827	6.66798165502939	6.58399804765875	6.3696484255855	6.6023663973009	6.20017150654566
TDU_consensed_contig_36106|TPO_consensed_contig_41894	4.9446309016479	5.46251253672941	5.16211834956106	6.53002058026107	6.40573855624323	6.67820677332274
TDU_consensed_contig_39039|TPO_consensed_contig_37735	2.47273648778451	2.29805488447711	1.95293391767152	2.18869527809573	2.109338809392	2.04842903906842
TDU_consensed_contig_11239|TPO_consensed_contig_38100	1.12970275988549	0.398817861412023	0.655667877018428	1.60771262828712	1.00764341232265	1.75335216383049
TDU_consensed_contig_35059|TPO_consensed_contig_19472	5.9866360461501	5.59958026677693	5.68666225570569	5.62032562489932	5.60135974878403	5.53489789953849
TDU_consensed_contig_37289|TPO_consensed_contig_33057	0.709594271059226	0.571285057416788	-0.017521806714463	1.40309490867865	1.32632584770636	1.4082166777818
TDU_consensed_contig_43240|TPO_consensed_contig_39352	3.13349433904787	3.40167751555126	3.17816629079293	3.16862965504162	3.01169024538535	3.01894227456804
TDU_consensed_contig_99562|TPO_consensed_contig_100973	2.73477283405522	2.64553961211021	2.5995733149475	2.15645494109552	2.109338809392	1.94471768954631
TDU_consensed_contig_57356|TPO_consensed_contig_97398	4.78264205442265	4.35375268988049	4.85117563539124	5.10353462681974	5.13646321043529	5.02425216293569
