A	Coef	t	p.value	p.value.adj	F	F.p.value	trtTpo-trtTdu
6.86	-4.617	-45.88	0	0	2104.67	0	-1
2.24	-1.144	-7.27	3e-05	0.000199	52.89	3e-05	-1
4.32	-0.945	-7.87	2e-05	0.000121	61.99	2e-05	-1
1.56	0.265	1.23	0.24952	0.326411	1.5	0.24952	0
3.84	0.474	3.5	0.00598	0.01391	12.27	0.00598	1
3.75	0.879	6.17	0.00012	0.000574	38.04	0.00012	1
4.35	0.061	0.53	0.60682	0.676452	0.28	0.60682	0
4.49	-0.726	-6.61	7e-05	0.00037	43.7	7e-05	-1
2.63	0.885	5.27	4e-04	0.001473	27.81	4e-04	1
6.29	-0.332	-2.94	0.01541	0.030764	8.61	0.01541	-1
1.07	0.11	0.43	0.67603	0.738038	0.19	0.67603	0
5.54	-0.932	-9	1e-05	5.1e-05	81.02	1e-05	-1
6.27	0.432	2.69	0.02333	0.043849	7.23	0.02333	1
-0.12	0.01	0.04	0.97072	0.978053	0	0.97072	0
3.74	0.458	2.86	0.01764	0.034596	8.15	0.01764	1
7.71	-0.558	-6.58	7e-05	0.000382	43.28	7e-05	-1
0.73	-0.156	-0.5	0.62723	0.694419	0.25	0.62723	0
2.06	0.815	4.26	0.0018	0.005091	18.12	0.0018	1
5.24	0.479	4.17	0.00204	0.005664	17.43	0.00204	1
2.19	-0.189	-1.12	0.29064	0.371457	1.25	0.29064	0
3.51	1.364	5.59	0.00026	0.001052	31.21	0.00026	1
6.67	0.567	7.45	3e-05	0.000171	55.55	3e-05	1
0.67	1.051	3.24	0.00932	0.020151	10.47	0.00932	1
6.75	-0.025	-0.33	0.74912	0.799678	0.11	0.74912	0
6.79	-0.047	-0.54	0.60428	0.674391	0.29	0.60428	0
6.53	0.053	0.68	0.51144	0.591414	0.46	0.51144	0
4.88	0.175	1.81	0.10174	0.153003	3.27	0.10174	0
1.18	-0.67	-2.79	0.01981	0.0382	7.76	0.01981	-1
6.78	-0.286	-2.93	0.01552	0.030959	8.59	0.01552	-1
5.43	-1.144	-6.98	4e-05	0.000262	48.77	4e-05	-1
4.4	0.607	6.01	0.00015	0.000675	36.12	0.00015	1
1.21	0.557	2.3	0.0448	0.076071	5.31	0.0448	0
1.38	0.121	0.48	0.64313	0.708794	0.23	0.64313	0
2.5	0.011	0.06	0.95544	0.966355	0	0.95544	0
