A	Coef	t	p.value	p.value.adj	F	F.p.value	trtTpo-trtTdu
7.68	-0.874	-5.61	0.00025	0.001031	31.43	0.00025	-1
7.35	-0.051	-0.8	0.44549	0.530089	0.63	0.44549	0
3.19	0.019	0.14	0.89047	0.915152	0.02	0.89047	0
7.94	-0.177	-2.47	0.03393	0.060222	6.09	0.03393	0
0.33	-0.444	-1.28	0.23174	0.306983	1.63	0.23174	0
7.56	-0.046	-0.76	0.467	0.549868	0.57	0.467	0
5.21	2.139	18.26	0	1e-06	333.59	0	1
5.91	-0.049	-0.63	0.54046	0.618151	0.4	0.54046	0
5.11	-1.109	-9.39	0	4e-05	88.09	0	-1
3.5	0.277	2.02	0.07233	0.11473	4.07	0.07233	0
6.03	-0.043	-0.48	0.6422	0.707901	0.23	0.6422	0
6.35	0.616	9.21	0	4.5e-05	84.76	0	1
2.72	-0.148	-0.77	0.45711	0.540966	0.6	0.45711	0
0.57	-0.409	-1.8	0.10322	0.155027	3.24	0.10322	0
2.22	1.035	6.4	9e-05	0.000455	40.96	9e-05	1
5.19	0.292	3.39	0.00716	0.016158	11.52	0.00716	1
6.49	-0.419	-5.88	0.00018	0.00077	34.6	0.00018	-1
6.12	0.344	2.35	0.04135	0.071042	5.53	0.04135	0
7.27	-0.017	-0.25	0.81088	0.851889	0.06	0.81088	0
0.11	0.108	0.35	0.73328	0.786245	0.12	0.73328	0
4.26	-0.441	-4.57	0.00112	0.003438	20.85	0.00112	-1
5.58	-0.818	-4.69	0.00093	0.002927	22.04	0.00093	-1
2.41	-0.177	-1.04	0.32232	0.405206	1.09	0.32232	0
-0.21	-0.005	-0.02	0.98483	0.988996	0	0.98483	0
0.71	-0.571	-1.96	0.07984	0.124626	3.83	0.07984	0
1.82	-0.912	-3.84	0.00345	0.008769	14.76	0.00345	-1
3.25	0.585	3.92	0.00306	0.007957	15.35	0.00306	1
5.33	-0.307	-3.15	0.01069	0.022692	9.94	0.01069	-1
10.17	-0.383	-4.25	0.00181	0.005132	18.07	0.00181	-1
8.41	-0.688	-10.19	0	2.4e-05	103.86	0	-1
5.56	0.435	5.66	0.00024	0.00097	32.08	0.00024	1
3.34	-0.224	-1.07	0.31026	0.392825	1.15	0.31026	0
1.34	0.816	3.97	0.0028	0.007402	15.78	0.0028	1
4.04	0.324	3.02	0.01328	0.027175	9.14	0.01328	1
2.01	-0.595	-3.49	0.00607	0.014083	12.21	0.00607	-1
9.6	0.021	0.2	0.84203	0.877237	0.04	0.84203	0
3.37	0.087	0.64	0.53553	0.613741	0.41	0.53553	0
2.73	-1.025	-3.51	0.00596	0.013878	12.29	0.00596	-1
5.44	-0.236	-3.14	0.011	0.023232	9.83	0.011	-1
6.18	0.956	8.65	1e-05	6.7e-05	74.76	1e-05	1
5.78	0.273	3.47	0.0063	0.01451	12.05	0.0063	1
2.13	0.068	0.34	0.73878	0.791008	0.12	0.73878	0
4.31	0.964	8.43	1e-05	7.8e-05	71.01	1e-05	1
6.02	0.221	1.88	0.0909	0.138963	3.52	0.0909	0
2.58	1.05	7.13	4e-05	0.000227	50.86	4e-05	1
2.6	0.469	2.78	0.02004	0.03859	7.73	0.02004	1
5.96	-0.085	-1.21	0.25493	0.332175	1.46	0.25493	0
5.88	0.382	4.27	0.00176	0.00501	18.23	0.00176	1
8.74	-0.017	-0.25	0.81064	0.85172	0.06	0.81064	0
6.95	-0.194	-2.79	0.01984	0.038258	7.76	0.01984	-1
6.87	0.351	5.69	0.00023	0.000939	32.42	0.00023	1
1.96	-0.327	-1.65	0.13128	0.190579	2.72	0.13128	0
3.71	-1.027	-5.76	0.00021	0.000877	33.16	0.00021	-1
0.67	-0.854	-2.5	0.03215	0.057531	6.25	0.03215	0
6	-0.239	-2.4	0.03833	0.066692	5.74	0.03833	0
4.33	1.023	7.43	3e-05	0.000175	55.19	3e-05	1
6.26	0.031	0.4	0.6967	0.755422	0.16	0.6967	0
6.94	-0.625	-8.77	1e-05	6.1e-05	76.84	1e-05	-1
2.53	-0.201	-1.08	0.30656	0.388915	1.17	0.30656	0
3.62	-0.531	-2.64	0.02557	0.047493	6.95	0.02557	-1
2.96	0.637	4.37	0.00151	0.004408	19.09	0.00151	1
2.93	1.113	6.71	6e-05	0.000336	45.06	6e-05	1
5.25	0.09	0.66	0.52655	0.605683	0.43	0.52655	0
8.6	-0.462	-5.75	0.00021	0.000887	33.01	0.00021	-1
7.74	-0.113	-1.75	0.11106	0.164985	3.07	0.11106	0
0.77	-0.859	-3.62	0.00494	0.011813	13.11	0.00494	-1
2.41	-0.177	-1.14	0.28044	0.360663	1.31	0.28044	0
2.4	2.949	6.97	5e-05	0.000264	48.63	5e-05	1
8.58	-0.59	-9.03	1e-05	5e-05	81.45	1e-05	-1
5.38	0.352	4.55	0.00114	0.003488	20.74	0.00114	1
2.64	1.159	6.48	8e-05	0.000418	42.05	8e-05	1
4.92	0.477	0.78	0.45495	0.539059	0.61	0.45495	0
0.58	-0.307	-0.52	0.61291	0.681668	0.27	0.61291	0
2.55	0.68	3.81	0.00362	0.009109	14.54	0.00362	1
2.19	0.341	1.41	0.19109	0.260762	1.98	0.19109	0
3.29	0.572	3.82	0.00355	0.008968	14.63	0.00355	1
3.21	0.966	5.67	0.00023	0.000966	32.13	0.00023	1
2.82	-0.279	-1.83	0.09802	0.147988	3.35	0.09802	0
4.65	1.921	16.09	0	1e-06	258.87	0	1
-0.27	0.172	0.56	0.58724	0.65979	0.32	0.58724	0
3.89	0.216	1.95	0.08089	0.126052	3.8	0.08089	0
5.48	0.537	4.99	6e-04	0.002054	24.91	6e-04	1
3.38	-0.935	-7.32	3e-05	0.000191	53.62	3e-05	-1
5.43	0.397	3.49	0.00616	0.014254	12.15	0.00616	1
3.95	-0.539	-3.99	0.00275	0.007279	15.89	0.00275	-1
1.12	-0.82	-3.43	0.00672	0.015312	11.78	0.00672	-1
7.61	-0.025	-0.32	0.75757	0.806675	0.1	0.75757	0
7.72	-0.603	-4.99	6e-04	0.002061	24.88	6e-04	-1
5.3	0.487	5.43	0.00032	0.001239	29.46	0.00032	1
2.7	-0.004	-0.03	0.97492	0.981166	0	0.97492	0
6.76	0.464	3.06	0.01253	0.025864	9.35	0.01253	1
3.97	-3.312	-20.67	0	0	427.35	0	-1
1.47	-1.013	-3.33	0.00796	0.017698	11.09	0.00796	-1
5.77	-0.631	-6.84	5e-05	0.000297	46.83	5e-05	-1
10.3	-0.08	-0.96	0.3598	0.443757	0.92	0.3598	0
7.99	0.369	4.42	0.0014	0.004118	19.55	0.0014	1
0.83	0.078	0.3	0.77198	0.819243	0.09	0.77198	0
1.75	-0.067	-0.24	0.81604	0.855799	0.06	0.81604	0
1.38	-0.03	-0.1	0.92408	0.940377	0.01	0.92408	0
1.88	0.463	2.22	0.05156	0.085785	4.93	0.05156	0
0.07	-0.413	-1.59	0.14436	0.206332	2.52	0.14436	0
2.25	-2.892	-11.32	0	1.2e-05	128.08	0	-1
2.8	0.237	1.38	0.19887	0.269289	1.9	0.19887	0
2.71	0.738	4.99	6e-04	0.002049	24.94	6e-04	1
2.59	0.457	2.67	0.02393	0.044825	7.15	0.02393	1
2.74	0.546	2.65	0.0249	0.046392	7.03	0.0249	1
6.47	0.556	5.47	0.00031	0.001189	29.9	0.00031	1
5.71	-0.698	-3.39	0.00715	0.016152	11.52	0.00715	-1
4.37	0.112	1.01	0.33915	0.423028	1.01	0.33915	0
8.15	0.547	4.49	0.00126	0.00378	20.15	0.00126	1
0.58	-0.794	-3.33	0.00802	0.017801	11.06	0.00802	-1
7.24	0.266	3.92	0.00307	0.007975	15.34	0.00307	1
7.02	0.112	1.67	0.12636	0.184481	2.8	0.12636	0
8.6	0.127	1.43	0.18545	0.254501	2.03	0.18545	0
1.31	1.765	6.73	6e-05	0.000331	45.29	6e-05	1
4.91	0.083	0.68	0.51047	0.590757	0.47	0.51047	0
7.74	-0.014	-0.21	0.84156	0.877126	0.04	0.84156	0
3.3	-0.115	-0.7	0.50124	0.582094	0.49	0.50124	0
6.55	1.129	11.43	0	1.1e-05	130.61	0	1
4.56	0.151	1.15	0.27734	0.357194	1.32	0.27734	0
7.28	0.083	1.16	0.27203	0.351119	1.36	0.27203	0
7.18	0.458	5.81	0.00019	0.000827	33.78	0.00019	1
2.79	-0.659	-4.55	0.00114	0.003488	20.74	0.00114	-1
3.66	0.446	3.83	0.00352	0.008915	14.66	0.00352	1
8.35	-0.307	-4.61	0.00105	0.003233	21.29	0.00105	-1
0.91	-0.124	-0.5	0.63019	0.697117	0.25	0.63019	0
5.05	0.833	5.36	0.00036	0.001338	28.72	0.00036	1
5.43	0.32	3.87	0.00333	0.008509	14.94	0.00333	1
0.81	-0.423	-1.28	0.23164	0.306934	1.63	0.23164	0
5.23	0.85	9.3	0	4.2e-05	86.43	0	1
1.94	0.529	2.14	0.05915	0.09675	4.57	0.05915	0
1.16	-0.351	-1.83	0.09774	0.147683	3.36	0.09774	0
5.41	-0.207	-2.41	0.03754	0.06543	5.8	0.03754	0
7.19	-0.567	-3.8	0.00369	0.009257	14.44	0.00369	-1
2.1	0.084	0.4	0.69927	0.757678	0.16	0.69927	0
1.7	-1.641	-5.58	0.00026	0.001061	31.13	0.00026	-1
6.02	-0.787	-8.87	1e-05	5.6e-05	78.68	1e-05	-1
3.83	0.063	0.11	0.91203	0.930951	0.01	0.91203	0
0.24	-0.124	-0.33	0.74894	0.799559	0.11	0.74894	0
6.3	0.025	0.28	0.78827	0.832644	0.08	0.78827	0
7.97	-0.131	-1.96	0.07909	0.123624	3.85	0.07909	0
5.08	0.039	0.43	0.67672	0.738562	0.18	0.67672	0
0.57	-0.563	-1.84	0.09718	0.147022	3.37	0.09718	0
6.47	-0.44	-6	0.00015	0.000682	35.99	0.00015	-1
0.79	-0.881	-3.1	0.01164	0.024338	9.62	0.01164	-1
2.91	0.497	3.61	0.00503	0.011997	13.03	0.00503	1
3.51	0.634	3.52	0.00579	0.013544	12.41	0.00579	1
6.07	0.189	2.24	0.04946	0.082867	5.04	0.04946	0
4.08	0.882	3.98	0.00278	0.007351	15.82	0.00278	1
7.61	-0.284	-4.5	0.00125	0.003753	20.21	0.00125	-1
5.64	-0.533	-5.05	0.00055	0.001909	25.54	0.00055	-1
4.86	-1.203	-11.59	0	1e-05	134.25	0	-1
2.38	0.704	3.45	0.0065	0.014904	11.92	0.0065	1
1.34	0.493	2.47	0.03407	0.060413	6.08	0.03407	0
4.44	0.134	1.32	0.21696	0.28999	1.74	0.21696	0
2.2	-0.274	-1.37	0.20266	0.27383	1.87	0.20266	0
5.15	-0.176	-1.9	0.08703	0.133857	3.62	0.08703	0
2.22	0.637	3.32	0.00807	0.01789	11.03	0.00807	1
2.96	0.741	5.05	0.00055	0.001907	25.55	0.00055	1
6.33	-0.398	-5.23	0.00042	0.001538	27.4	0.00042	-1
2.9	-0.967	-5.19	0.00045	0.001622	26.95	0.00045	-1
4.7	-1.752	-11.98	0	8e-06	143.5	0	-1
6.27	0.182	2.32	0.04337	0.074003	5.4	0.04337	0
7.76	0.166	2.44	0.0353	0.062281	5.98	0.0353	0
5.39	0.06	0.59	0.57067	0.644911	0.34	0.57067	0
6.05	0.513	7.17	4e-05	0.00022	51.37	4e-05	1
5.8	-0.476	-5.5	0.00029	0.001148	30.29	0.00029	-1
0.86	0.572	2.18	0.05495	0.090786	4.76	0.05495	0
6.72	-0.601	-6.23	0.00011	0.000536	38.84	0.00011	-1
2.65	-0.256	-1.91	0.08648	0.133128	3.64	0.08648	0
8.85	-0.56	-7.92	2e-05	0.000116	62.74	2e-05	-1
2.13	0.462	2.49	0.03298	0.058819	6.18	0.03298	0
7.32	-0.258	-4.07	0.00241	0.006489	16.56	0.00241	-1
3.92	0.648	3.55	0.00554	0.01303	12.6	0.00554	1
6.76	0.323	1.59	0.14385	0.205828	2.53	0.14385	0
1.03	-0.567	-2.52	0.03119	0.05608	6.34	0.03119	0
8.24	-1.843	-14.77	0	2e-06	218.06	0	-1
2.86	0.91	5.47	0.00031	0.001185	29.93	0.00031	1
2.84	-2.411	-12.98	0	5e-06	168.48	0	-1
3.11	1.571	7.28	3e-05	0.000198	53.07	3e-05	1
5.51	-0.591	-5.73	0.00022	0.000908	32.79	0.00022	-1
3.58	-0.089	-0.62	0.54762	0.624343	0.39	0.54762	0
2.73	0.062	0.25	0.81118	0.852119	0.06	0.81118	0
5.32	-0.809	-8.25	1e-05	9e-05	67.99	1e-05	-1
3.31	0.169	1.1	0.29637	0.377698	1.22	0.29637	0
5.95	-0.386	-4.23	0.00187	0.005261	17.91	0.00187	-1
6.27	0.804	9.74	0	3.2e-05	94.82	0	1
2.56	0.039	0.2	0.84187	0.877203	0.04	0.84187	0
7.09	-0.014	-0.2	0.84723	0.881497	0.04	0.84723	0
0.9	1.039	4.03	0.00256	0.006845	16.25	0.00256	1
3	-0.734	-3.74	0.00405	0.010015	14.01	0.00405	-1
5.25	-0.775	-7.43	3e-05	0.000174	55.27	3e-05	-1
4.9	0.49	4.92	0.00066	0.002219	24.24	0.00066	1
5.26	0.124	1.41	0.18869	0.258004	2	0.18869	0
7.23	0.072	0.89	0.39378	0.478091	0.8	0.39378	0
3.41	0.208	1.7	0.12006	0.176443	2.91	0.12006	0
1.83	-0.064	-0.3	0.76865	0.816523	0.09	0.76865	0
0.92	0.32	1.23	0.24652	0.323021	1.52	0.24652	0
2.34	0.395	2.24	0.04972	0.083188	5.02	0.04972	0
4.33	-0.962	-6.69	6e-05	0.000342	44.8	6e-05	-1
2.58	-0.539	-3.48	0.00617	0.01427	12.14	0.00617	-1
2.93	-0.197	-1.42	0.18756	0.256894	2.01	0.18756	0
4.52	0.079	0.69	0.50722	0.587763	0.47	0.50722	0
0.6	0.053	0.17	0.86859	0.898201	0.03	0.86859	0
5.51	-0.273	-3.22	0.00957	0.020592	10.36	0.00957	-1
8.16	-0.072	-0.9	0.39156	0.475726	0.8	0.39156	0
0.76	1.23	3.3	0.00838	0.018449	10.88	0.00838	1
4.76	2.096	21.72	0	0	471.6	0	1
2.62	-0.161	-1.03	0.32717	0.410192	1.06	0.32717	0
2.38	0.096	0.52	0.6175	0.685843	0.27	0.6175	0
1.99	0.485	1.57	0.1476	0.210156	2.48	0.1476	0
8.38	-0.433	-4.76	0.00084	0.002696	22.67	0.00084	-1
6.4	-0.015	-0.18	0.86256	0.893789	0.03	0.86256	0
0.68	-1.34	-4.4	0.00145	0.004253	19.33	0.00145	-1
5.49	0.488	4.4	0.00145	0.004244	19.35	0.00145	1
6.32	0.04	0.41	0.69264	0.751713	0.17	0.69264	0
0.35	-0.142	-0.61	0.55821	0.633293	0.37	0.55821	0
5.77	0.155	1.65	0.13025	0.189285	2.73	0.13025	0
1.57	0.226	1	0.3436	0.427374	0.99	0.3436	0
4.67	0.653	3.88	0.00326	0.008387	15.04	0.00326	1
7.26	0.294	4.25	0.00182	0.005146	18.05	0.00182	1
5.71	-0.7	-8.27	1e-05	8.8e-05	68.48	1e-05	-1
6.54	0.332	3.9	0.00313	0.008103	15.24	0.00313	1
5.2	-0.801	-7.23	3e-05	0.000208	52.28	3e-05	-1
7.27	-0.327	-5.02	0.00057	0.001976	25.24	0.00057	-1
7.29	-0.642	-7.94	2e-05	0.000115	63	2e-05	-1
6.64	-0.508	-7.67	2e-05	0.000142	58.9	2e-05	-1
1.63	-0.266	-1.23	0.24795	0.324549	1.51	0.24795	0
6.64	0.454	3.05	0.01266	0.026105	9.31	0.01266	1
0.97	1.445	5.84	0.00018	8e-04	34.15	0.00018	1
4.34	-0.001	0	0.9967	0.99745	0	0.9967	0
2.62	1.346	8.24	1e-05	9.1e-05	67.84	1e-05	1
6.91	0.689	8.22	1e-05	9.2e-05	67.56	1e-05	1
8.41	-0.171	-2.16	0.05674	0.093238	4.68	0.05674	0
4.75	-0.586	-4.94	0.00065	0.002186	24.38	0.00065	-1
0.73	1.028	3.05	0.01278	0.026295	9.28	0.01278	1
1.92	0.22	1.21	0.25507	0.332241	1.46	0.25507	0
3.79	-0.07	-0.64	0.53523	0.613487	0.41	0.53523	0
5.8	0.134	1.35	0.20648	0.278186	1.83	0.20648	0
2.2	0.065	0.35	0.73505	0.787801	0.12	0.73505	0
5.86	-0.897	-7.97	1e-05	0.000111	63.59	1e-05	-1
2.08	0.186	1.07	0.30981	0.392346	1.15	0.30981	0
3.01	-0.05	-0.36	0.72933	0.782773	0.13	0.72933	0
6.84	0.236	2.69	0.02319	0.043646	7.25	0.02319	1
7.15	-1.752	-27.16	0	0	737.47	0	-1
4.03	-1.2	-8.27	1e-05	8.8e-05	68.42	1e-05	-1
7.07	-0.001	-0.02	0.98666	0.990318	0	0.98666	0
2.83	-2.634	-10.47	0	2e-05	109.64	0	-1
3.36	-0.021	-0.14	0.89421	0.917939	0.02	0.89421	0
6.68	0.077	0.86	0.40877	0.493274	0.75	0.40877	0
3.35	0.769	5.9	0.00017	0.000754	34.85	0.00017	1
6.71	0.427	5.29	0.00039	0.001441	28	0.00039	1
3.36	0.44	2.95	0.01501	0.030114	8.71	0.01501	1
6.7	-0.355	-5.09	0.00052	0.001832	25.88	0.00052	-1
1.48	0.485	1.53	0.15904	0.223547	2.33	0.15904	0
5.68	-0.137	-1.59	0.14443	0.206377	2.52	0.14443	0
4.71	0.469	4.21	0.00194	0.005442	17.69	0.00194	1
4.52	-0.681	-6.04	0.00014	0.000652	36.52	0.00014	-1
5.44	0.569	5.09	0.00052	0.001819	25.95	0.00052	1
5.81	4.801	16.84	0	1e-06	283.43	0	1
3.76	0.746	6.81	5e-05	0.000304	46.44	5e-05	1
5.81	-0.293	-2.85	0.01764	0.034596	8.15	0.01764	-1
3.49	-1.015	-7.79	2e-05	0.000129	60.76	2e-05	-1
7.45	-0.36	-5.52	0.00029	0.001127	30.48	0.00029	-1
6.58	0.783	10.87	0	1.6e-05	118.12	0	1
8.23	0.238	3.05	0.01277	0.026278	9.28	0.01277	1
5.04	-1.235	-12.01	0	8e-06	144.24	0	-1
-0.47	0.333	1.05	0.3197	0.402715	1.1	0.3197	0
3.98	-0.643	-4.44	0.00136	0.004014	19.72	0.00136	-1
5.36	0.024	0.28	0.78844	0.832738	0.08	0.78844	0
2.44	-0.077	-0.49	0.6376	0.703848	0.24	0.6376	0
5.32	0.001	0.01	0.99054	0.993187	0	0.99054	0
7.42	0.055	0.68	0.51043	0.590757	0.47	0.51043	0
5.17	-0.036	-0.32	0.75737	0.806628	0.1	0.75737	0
4.32	-0.347	-3.32	0.00812	0.017978	11.01	0.00812	-1
1.11	-0.342	-1.33	0.21278	0.285408	1.78	0.21278	0
1.28	0.578	1.75	0.11233	0.16667	3.05	0.11233	0
6.42	-0.574	-5.72	0.00022	0.000918	32.67	0.00022	-1
3.77	-0.092	-0.53	0.61138	0.680399	0.28	0.61138	0
8.06	-0.785	-8.69	1e-05	6.5e-05	75.5	1e-05	-1
6.1	-0.027	-0.3	0.76692	0.815169	0.09	0.76692	0
5.14	0.002	0.01	0.9895	0.992665	0	0.9895	0
2.94	-0.107	-0.48	0.63969	0.705795	0.23	0.63969	0
5.73	1.774	17.4	0	1e-06	302.62	0	1
3.7	0.118	0.85	0.41434	0.498912	0.73	0.41434	0
3.84	0.091	0.7	0.49986	0.580802	0.49	0.49986	0
5.77	-0.024	-0.28	0.78266	0.828525	0.08	0.78266	0
6.26	-0.329	-4.22	0.00191	0.005368	17.78	0.00191	-1
5.07	-0.424	-4.01	0.00266	0.007086	16.05	0.00266	-1
3.37	3.524	18.24	0	1e-06	332.74	0	1
5.86	0.048	0.62	0.54987	0.626307	0.38	0.54987	0
8.47	0.241	3.28	0.00862	0.018896	10.77	0.00862	1
6.66	1.035	11.85	0	9e-06	140.38	0	1
0.99	1.117	4.53	0.00119	0.003614	20.49	0.00119	1
0.56	-0.437	-1.61	0.13973	0.201008	2.59	0.13973	0
5.43	-0.088	-0.96	0.36101	0.444989	0.92	0.36101	0
4.85	-0.137	-1.04	0.3243	0.407404	1.08	0.3243	0
0.32	0.48	1.25	0.24099	0.317271	1.56	0.24099	0
5.84	-0.024	-0.28	0.78285	0.828638	0.08	0.78285	0
2.08	2.782	12.42	0	7e-06	154.32	0	1
-0.05	0.43	1.56	0.1509	0.214036	2.43	0.1509	0
3.9	0.828	3.93	0.00299	0.007802	15.47	0.00299	1
0.91	-0.358	-1.72	0.11771	0.173371	2.95	0.11771	0
7.07	-0.416	-4.75	0.00085	0.002723	22.6	0.00085	-1
2.46	0.065	0.44	0.66816	0.731167	0.2	0.66816	0
5.77	-0.068	-0.93	0.3734	0.457811	0.87	0.3734	0
4.12	-0.198	-1.47	0.17382	0.240897	2.16	0.17382	0
4.28	-0.102	-0.99	0.34531	0.42906	0.98	0.34531	0
4.12	0.049	0.42	0.68215	0.742861	0.18	0.68215	0
7.54	0.401	5.38	0.00035	0.001311	28.91	0.00035	1
2.94	0.444	2.85	0.01786	0.034975	8.11	0.01786	1
3	0.261	1.55	0.15357	0.21695	2.4	0.15357	0
8.75	-0.272	-3.78	0.0038	0.009487	14.3	0.0038	-1
6.18	0.602	5.3	0.00039	0.001426	28.1	0.00039	1
4.44	0.167	1.78	0.10581	0.158204	3.18	0.10581	0
0.73	0.799	2.42	0.03712	0.064863	5.83	0.03712	0
6.43	-0.011	-0.16	0.87439	0.90263	0.03	0.87439	0
3.47	1.728	9.66	0	3.3e-05	93.4	0	1
6.88	0.073	0.43	0.67495	0.737077	0.19	0.67495	0
1.21	0.25	0.74	0.47837	0.560492	0.54	0.47837	0
5.66	-0.088	-0.98	0.35177	0.435256	0.96	0.35177	0
0.8	-0.159	-0.62	0.54972	0.626263	0.38	0.54972	0
6.71	-0.309	-2.24	0.04949	0.082892	5.04	0.04949	0
-0.4	0.619	2.05	0.06789	0.108687	4.22	0.06789	0
3.08	0.182	0.79	0.44893	0.533349	0.62	0.44893	0
4.59	0.544	5.55	0.00027	0.001092	30.8	0.00027	1
1.44	2.366	9.12	0	4.7e-05	83.17	0	1
1.02	-0.263	-1.11	0.29416	0.37517	1.23	0.29416	0
1.86	0.401	2.05	0.06885	0.110062	4.19	0.06885	0
5.13	-0.139	-0.92	0.37914	0.463437	0.85	0.37914	0
8.38	0.445	4.49	0.00126	0.003783	20.14	0.00126	1
0.66	-1.834	-6.87	5e-05	0.00029	47.17	5e-05	-1
7.86	-0.665	-8.46	1e-05	7.6e-05	71.65	1e-05	-1
1.91	-0.179	-0.74	0.47679	0.559133	0.55	0.47679	0
6.46	0.144	1.83	0.09842	0.148515	3.34	0.09842	0
6.77	-0.952	-6.9	5e-05	0.000282	47.65	5e-05	-1
4.45	-0.834	-7.14	4e-05	0.000226	50.95	4e-05	-1
1.97	0.232	1.26	0.23672	0.312653	1.59	0.23672	0
4.52	-0.07	-0.58	0.57383	0.647654	0.34	0.57383	0
6.79	-0.162	-2.49	0.03297	0.058803	6.18	0.03297	0
4.35	-0.176	-1.47	0.17243	0.239438	2.17	0.17243	0
5.04	-0.724	-6.65	7e-05	0.000357	44.21	7e-05	-1
7.34	-0.127	-2.1	0.0632	0.102391	4.4	0.0632	0
2.94	-0.162	-1.02	0.33462	0.418376	1.03	0.33462	0
3.42	0.555	3.41	0.00696	0.015783	11.64	0.00696	1
-0.25	-0.105	-0.36	0.72838	0.782002	0.13	0.72838	0
2.45	-0.207	-1.2	0.25797	0.335368	1.44	0.25797	0
7.22	-0.592	-8.24	1e-05	9.1e-05	67.9	1e-05	-1
3.69	-1.069	-5.52	0.00028	0.001124	30.52	0.00028	-1
1.49	1.002	2.69	0.02326	0.043758	7.24	0.02326	1
8.23	-0.446	-5.7	0.00022	0.000931	32.51	0.00022	-1
8.2	0.219	2.54	0.03019	0.054582	6.44	0.03019	0
7.21	-0.209	-2.55	0.02951	0.053577	6.51	0.02951	0
5.66	-0.992	-6.49	8e-05	0.000415	42.13	8e-05	-1
7.21	0.283	3.72	0.00418	0.010266	13.86	0.00418	1
9.72	-0.056	-0.6	0.56539	0.640021	0.35	0.56539	0
3.04	0.98	7.16	4e-05	0.000222	51.2	4e-05	1
6.57	-0.147	-1.96	0.07913	0.123648	3.85	0.07913	0
4.9	0.689	6.49	8e-05	0.000414	42.18	8e-05	1
9.85	0.595	8.65	1e-05	6.7e-05	74.91	1e-05	1
5.95	0.288	3.15	0.01071	0.022719	9.93	0.01071	1
2.89	0.238	1.36	0.204	0.275392	1.86	0.204	0
8.26	-0.159	-1.65	0.13065	0.189808	2.73	0.13065	0
4.16	-0.851	-7.92	2e-05	0.000116	62.72	2e-05	-1
3.1	0.459	3.21	0.00977	0.020964	10.28	0.00977	1
0.44	0.807	2.46	0.03445	0.061004	6.05	0.03445	0
2.18	2.415	7.63	2e-05	0.000147	58.28	2e-05	1
2.57	0.491	2.39	0.03877	0.067354	5.71	0.03877	0
2.66	-0.967	-4.31	0.00166	0.004754	18.57	0.00166	-1
1.87	-0.921	-4.79	0.00081	0.002612	22.91	0.00081	-1
7.14	0.86	8.51	1e-05	7.4e-05	72.35	1e-05	1
7.22	0.538	4.93	0.00065	0.002197	24.32	0.00065	1
4.56	-0.206	-1.8	0.1033	0.155096	3.23	0.1033	0
6.38	0.279	3.13	0.01102	0.023275	9.82	0.01102	1
6.08	-0.425	-6.29	1e-04	0.000506	39.62	1e-04	-1
2.87	-0.388	-2.44	0.03544	0.062469	5.97	0.03544	0
4.92	1.659	8.86	1e-05	5.7e-05	78.45	1e-05	1
3.9	-0.529	-4	0.00271	0.007183	15.96	0.00271	-1
6.56	-0.29	-4.32	0.00164	0.004709	18.64	0.00164	-1
1.63	-0.071	-0.34	0.73759	0.789899	0.12	0.73759	0
0.72	-1.739	-6.2	0.00012	0.000553	38.48	0.00012	-1
2.74	-0.472	-3.35	0.00774	0.017324	11.2	0.00774	-1
3.89	-0.609	-4.75	0.00085	0.00273	22.58	0.00085	-1
8.76	-0.197	-2.89	0.01669	0.032992	8.34	0.01669	-1
7.52	-0.765	-8.54	1e-05	7.2e-05	72.97	1e-05	-1
4.32	0.574	5.52	0.00028	0.001125	30.51	0.00028	1
6.73	0.241	2.43	0.0361	0.063359	5.91	0.0361	0
1.06	-0.098	-0.39	0.70567	0.762874	0.15	0.70567	0
0.21	-0.435	-1.51	0.16421	0.229937	2.27	0.16421	0
5.63	0.14	1.92	0.08446	0.13051	3.69	0.08446	0
4.98	-1.34	-8.96	1e-05	5.3e-05	80.35	1e-05	-1
4.63	-0.106	-0.97	0.35453	0.438015	0.95	0.35453	0
7.62	1.47	11.02	0	1.4e-05	121.38	0	1
7.47	-0.223	-3.03	0.01312	0.026887	9.18	0.01312	-1
1.22	0.252	1.21	0.25358	0.330991	1.47	0.25358	0
2.21	-0.443	-1.82	0.10029	0.150983	3.3	0.10029	0
6.15	-0.488	-4.75	0.00085	0.002723	22.6	0.00085	-1
6.68	-0.335	-4.37	0.00151	0.004394	19.11	0.00151	-1
3.44	-1.482	-7.05	4e-05	0.000245	49.71	4e-05	-1
3.37	-1.499	-9.53	0	3.6e-05	90.8	0	-1
2.67	0.276	1.64	0.13219	0.191786	2.7	0.13219	0
7.09	-0.148	-2.27	0.04764	0.080218	5.14	0.04764	0
6.22	-0.591	-6.26	0.00011	0.000522	39.19	0.00011	-1
3.68	0.485	4.05	0.0025	0.006694	16.38	0.0025	1
5.14	-0.033	-0.33	0.75038	0.800462	0.11	0.75038	0
4.45	-0.005	-0.05	0.96426	0.973006	0	0.96426	0
7.82	0.09	1.21	0.2556	0.332769	1.46	0.2556	0
1.81	-1.66	-7.37	3e-05	0.000183	54.37	3e-05	-1
7.48	-0.258	-3.46	0.0064	0.014714	11.99	0.0064	-1
3.16	1.028	5.76	0.00021	0.000877	33.15	0.00021	1
1.3	0.085	0.39	0.7053	0.762737	0.15	0.7053	0
