logFC	AveExpr	t	P.Value	adj.P.Val	B
TDU_consensed_contig_68449|TPO_consensed_contig_91407	4.89522411200525	4.6872390869489	53.6213294859033	2.63924516331651e-13	5.83662398689528e-13	21.3239572906847
TDU_consensed_contig_68151|TPO_consensed_contig_33765	6.93076597150765	7.22590792119077	64.7257458419364	4.28694029064259e-14	1.10639742526447e-13	23.13392617362
TDU_consensed_contig_56748|TPO_consensed_contig_9392	3.21582827016067	3.57494119367797	21.6634760699563	1.5826890464948e-09	2.31326091025666e-09	12.4508623454369
TDU_consensed_contig_11053|TPO_consensed_contig_39553	9.25941426849796	9.21383710635958	151.984355764525	1.11340436067086e-17	2.35032666005203e-16	30.5788746963197
TDU_consensed_contig_4745|TPO_consensed_contig_27969	2.96010222348638	2.87669842177394	27.4877598513456	1.63307337441686e-10	2.57286770232387e-10	14.8619598264021
TDU_consensed_contig_37494|TPO_consensed_contig_37012	7.67430502445025	8.08944895304847	126.11172673423	6.77495945584336e-17	5.54725783052451e-16	29.2173797736677
TDU_consensed_contig_39883|TPO_consensed_contig_26319	1.81597720367996	2.23151325761908	13.6977782342894	1.17292855292645e-07	1.51522784750099e-07	8.08373401191445
TDU_consensed_contig_8405|TPO_consensed_contig_33570	8.17080339528561	8.25281132765306	165.963155923715	4.75146387501513e-18	1.88592489938797e-16	31.2903895768269
TDU_consensed_contig_46251|TPO_consensed_contig_32522	3.64607176179463	3.70428196800716	39.2172561560408	5.38523199734487e-12	9.88619704877084e-12	18.3104767378696
TDU_consensed_contig_34448|TPO_consensed_contig_43120	2.01225073445883	1.49706184479558	15.0621977128211	4.85757503412091e-08	6.40775701425175e-08	8.98970923667573
TDU_consensed_contig_57333|TPO_consensed_contig_17762	6.47635387861165	5.99803825649388	65.1020025779529	4.05347544569689e-14	1.05122558498192e-13	23.1949356694838
TDU_consensed_contig_8604|TPO_consensed_contig_16601	4.32633066440741	4.53743122141155	65.0749318315411	4.06979584382007e-14	1.05443363806035e-13	23.0726108684053
TDU_consensed_contig_56911|TPO_consensed_contig_37656	5.98960224960278	6.43727203975407	107.131496318958	3.28301911693321e-16	1.72395822915382e-15	27.6953533394514
TDU_consensed_contig_35746|TPO_consensed_contig_13623	1.71463692479044	2.81906773635791	7.35680739135597	2.90368471397793e-05	3.39011937574001e-05	2.17999805827508
TDU_consensed_contig_16676|TPO_consensed_contig_13149	3.46979148324656	3.57044092509146	21.1401404370999	1.99649499985333e-09	2.89550897234897e-09	12.1662669984932
TDU_consensed_contig_28098|TPO_consensed_contig_32709	4.82871189528616	4.90421990500481	53.3878334999624	2.75278472448693e-13	6.07513073653306e-13	21.2814756705688
TDU_consensed_contig_40286|TPO_consensed_contig_17932	3.54281612377794	3.80334282216343	32.4087131657856	3.36823464833545e-11	5.64651300679503e-11	16.449230778139
TDU_consensed_contig_6837|TPO_consensed_contig_38786	0.540110221646648	2.26037687967351	2.93080560660968	0.0155205123503886	0.0167032063668077	-4.21029158990315
TDU_consensed_contig_33969|TPO_consensed_contig_43357	2.4204063803767	2.4195640880154	16.5329740572669	2.03287666041259e-08	2.74538630195108e-08	9.85369053592447
TDU_consensed_contig_28679|TPO_consensed_contig_46903	3.5585402861528	2.96819880359923	30.8599306925503	5.38877885991183e-11	8.84760754840514e-11	15.9622314057849
TDU_consensed_contig_32845|TPO_consensed_contig_16196	2.63938868270106	1.92021643267756	20.5175021254259	2.65128070641376e-09	3.8078724915765e-09	11.9825413208052
TDU_consensed_contig_75315|TPO_consensed_contig_27827	4.77771909096988	4.84638591366974	49.4619625450752	5.7523002717711e-13	1.20924020479819e-12	20.5445201998289
TDU_consensed_contig_60325|TPO_consensed_contig_13545	1.83179905625537	1.62808954326975	13.5046935167279	1.33735058455846e-07	1.72263146233932e-07	7.94093243656531
TDU_consensed_contig_9119|TPO_consensed_contig_37763	3.11982640847822	3.02047480170173	30.5897398409282	5.8630302860801e-11	9.60410775766757e-11	15.9055737852088
TDU_consensed_contig_36823|TPO_consensed_contig_38920	2.83740009105103	2.56133262854325	29.2683954726431	8.95292954532742e-11	1.44178625573847e-10	15.4880887750088
TDU_consensed_contig_12946|TPO_consensed_contig_38940	3.93369899155602	3.68599002951993	40.6926251748264	3.77385152345637e-12	7.06158652575248e-12	18.6639783786702
