logFC	AveExpr	t	P.Value	adj.P.Val	B
TDU_consensed_contig_40286|TPO_consensed_contig_17932	3.71672845672923	3.77575820577182	33.7375651986434	3.71595290899091e-12	7.21901625934439e-12	18.5957381744073
TDU_consensed_contig_6837|TPO_consensed_contig_38786	2.74460170180835	2.41777849025994	17.545212684445	3.43853950467831e-09	4.96101115470469e-09	11.612248349524
TDU_consensed_contig_33969|TPO_consensed_contig_43357	2.91254359002813	2.58416713600325	21.0889674133478	5.11631182112204e-10	7.89876191270889e-10	13.5913011996432
TDU_consensed_contig_28679|TPO_consensed_contig_46903	1.86287686340774	2.60013382312769	11.2103492744885	3.19162833202625e-07	4.06474400608916e-07	6.92288372921761
TDU_consensed_contig_32845|TPO_consensed_contig_16196	2.07846627150857	1.97425796234985	13.9044810021788	3.70263016883933e-08	4.98106890770163e-08	9.18006863656318
TDU_consensed_contig_75315|TPO_consensed_contig_27827	5.01389459530913	4.90199054504773	51.8672218493163	3.94275114262642e-14	1.07848555845144e-13	23.0900757522453
TDU_consensed_contig_60325|TPO_consensed_contig_13545	2.45605453125133	1.90749535182745	11.7225630583247	2.05100357747119e-07	2.64120416591659e-07	7.3056606723401
TDU_consensed_contig_9119|TPO_consensed_contig_37763	2.59219139599244	2.87880138369476	22.8032184249907	2.26634943165096e-10	3.59877118210194e-10	14.4577886447382
TDU_consensed_contig_36823|TPO_consensed_contig_38920	2.7646868142488	2.62689167339523	23.0122666674982	2.06045971783565e-10	3.28722910212299e-10	14.5457206318123
TDU_consensed_contig_12946|TPO_consensed_contig_38940	3.58435850652271	3.65023988690006	26.1524634499973	5.40560163202741e-11	9.12976933738306e-11	15.8751816786043
TDU_consensed_contig_12496|TPO_consensed_contig_37721	6.82756802698869	6.74540964069257	50.1348128400031	5.65010548811796e-14	1.4934349733743e-13	22.7774204416071
TDU_consensed_contig_34338|TPO_consensed_contig_18819	1.43485201440515	2.42242820939853	2.64303705708331	0.023467082758674	0.0250620719251429	-4.79103502351977
TDU_consensed_contig_60709|TPO_consensed_contig_84476	5.21895153654088	5.45020333600937	55.2744162087616	2.0093350643013e-14	5.92818697612553e-14	23.7458344079723
TDU_consensed_contig_2774|TPO_consensed_contig_84555	8.1777719566048	8.25614432723149	126.754472774581	3.00055890490006e-18	1.74264503913312e-16	31.3523336415641
TDU_consensed_contig_101853|TPO_consensed_contig_16816	6.75257252930359	6.80734434277419	88.6839463281589	1.33290474031857e-16	1.04183621847075e-15	28.4080343611705
TDU_consensed_contig_64901|TPO_consensed_contig_28516	0.289785377483248	0.265961443733513	1.72982434188773	0.112542760264947	0.117845352714924	-6.09287250387414
TDU_consensed_contig_39518|TPO_consensed_contig_96969	5.30357300425384	5.13791641091872	52.9317019459415	3.17933740521659e-14	8.89571328284184e-14	23.3135042514362
TDU_consensed_contig_12648|TPO_consensed_contig_16316	1.85575092291503	1.859062974894	12.1671589307021	1.41607986545494e-07	1.83911929153229e-07	7.7883979732911
TDU_consensed_contig_12371|TPO_consensed_contig_84318	6.99054763608543	7.00439738343658	85.831882817874	1.88593560602179e-16	1.34224475900481e-15	28.1278591114152
TDU_consensed_contig_33436|TPO_consensed_contig_27538	8.24515023462892	8.19153059603841	132.678842789036	1.84681361641828e-18	1.62276996350945e-16	31.67561656239
TDU_consensed_contig_102177|TPO_consensed_contig_20130	1.93372990586354	1.91065101721375	15.2568094426515	1.44161898215839e-08	1.99424907756929e-08	10.1939152188507
TDU_consensed_contig_33688|TPO_consensed_contig_34221	6.1530205031235	5.98075505040951	65.7529745978376	3.18956492120139e-15	1.20390328372241e-14	25.5405701320482
TDU_consensed_contig_56846|TPO_consensed_contig_34589	2.87057650449153	2.98613318302515	28.7790461421205	1.97995667888925e-11	3.50510350429164e-11	16.9252147561798
TDU_consensed_contig_13355|TPO_consensed_contig_100955	2.72399365028469	2.96991510712118	17.5087802821186	3.5129776278932e-09	5.06562699923365e-09	11.5916079335592
TDU_consensed_contig_20226|TPO_consensed_contig_42203	4.86351205191692	5.33022040566624	26.8549150431909	4.09401532592616e-11	7.0125939557008e-11	16.070015342966
TDU_consensed_contig_61588|TPO_consensed_contig_105827	1.81524580807112	1.79770232195552	13.9287282130831	3.63790817471636e-08	4.89587642204818e-08	9.23270126574335
TDU_consensed_contig_27936|TPO_consensed_contig_35859	5.6217453663525	5.51054432478423	67.3196792590451	2.4845743952104e-15	9.70562840670817e-15	25.7219189535075
TDU_consensed_contig_19428|TPO_consensed_contig_40171	3.370164025455	3.52392719662033	35.2877571158764	2.31391367653971e-12	4.60591944097434e-12	19.0618320057444
TDU_consensed_contig_8472|TPO_consensed_contig_16638	1.67550075953792	1.90232204409581	11.6827519081187	2.12143737726525e-07	2.72822971737366e-07	7.38327957026037
TDU_consensed_contig_16874|TPO_consensed_contig_58867	9.21746853885833	9.22878573149106	114.790307142294	8.60288782398756e-18	2.25520091784931e-16	30.5194410979247
TDU_consensed_contig_45868|TPO_consensed_contig_35616	7.51198938459601	7.63759128514054	105.724664570743	2.06144484859269e-17	3.39122194810741e-16	29.9555719432384
TDU_consensed_contig_36218|TPO_consensed_contig_95174	5.79560385423675	5.68504268187279	56.7993217147804	1.50589697788206e-14	4.59906712129465e-14	24.0556081008447
TDU_consensed_contig_34888|TPO_consensed_contig_91844	2.71039393928228	2.74601064580361	16.3864110537297	6.94187376553406e-09	9.80160873382056e-09	10.8722669769472
TDU_consensed_contig_57766|TPO_consensed_contig_28199	1.40341177130937	1.42894648297172	5.3452917227315	0.000264558702374298	0.000298940242863444	-0.160638446743988
TDU_consensed_contig_37324|TPO_consensed_contig_36079	5.52453021642437	5.41585752506678	55.0845092003108	2.08396966828929e-14	6.12089666193267e-14	23.7308870566289
TDU_consensed_contig_82274|TPO_consensed_contig_102463	5.35444736285753	5.57729842393575	52.5433269836591	3.43730769262957e-14	9.53880107310507e-14	23.2415642591737
TDU_consensed_contig_69610|TPO_consensed_contig_9736	0.778350420011757	1.06059543370395	4.48450821106611	0.00100587795857307	0.00111526095354077	-1.46181456330734
TDU_consensed_contig_62134|TPO_consensed_contig_19579	1.8375611540718	1.8949987950021	10.7437738542599	4.84851639802382e-07	6.10244305268515e-07	6.48230587595162
TDU_consensed_contig_45014|TPO_consensed_contig_8890	3.52461247283112	3.67718695470525	37.6557094469437	1.16593470523658e-12	2.43567281825256e-12	19.7381122151056
TDU_consensed_contig_33119|TPO_consensed_contig_35778	1.65255434418006	1.6062595585549	13.0180793589725	7.19591254296551e-08	9.49578617269062e-08	8.53183903198262
TDU_consensed_contig_27373|TPO_consensed_contig_59761	2.38100787406753	2.30618116738616	11.6992945921994	2.09185571426601e-07	2.69117455248614e-07	7.29594181667208
TDU_consensed_contig_59544|TPO_consensed_contig_101475	4.01376784605828	3.87524633769292	47.3446281077821	1.0359753523685e-13	2.59722702220311e-13	22.0901157800385
TDU_consensed_contig_23462|TPO_consensed_contig_85074	5.09676008365839	5.18772893940019	46.895111917113	1.14604527000022e-13	2.83731226524784e-13	22.060913706989
TDU_consensed_contig_59252|TPO_consensed_contig_10000	8.22278582250649	8.24127246684649	101.763287138247	3.09263408281209e-17	4.23856186160634e-16	29.6241331123786
TDU_consensed_contig_59187|TPO_consensed_contig_100864	5.54699778508229	5.49985086673634	57.8332848413335	1.24380384766604e-14	3.91111757303781e-14	24.2234739124439
