logFC	AveExpr	t	P.Value	adj.P.Val	B
TDU_consensed_contig_41963|TPR_consensed_contig_109425	3.18861353937196	3.0296778817657	28.0766634160492	2.10255281387819e-12	3.3945271921117e-12	19.0257984459153
TDU_consensed_contig_19573|TPR_consensed_contig_18202	5.4048029224079	5.39568218535153	65.617833542382	7.64132596700889e-17	2.23319512060021e-16	29.1544420920322
TDU_consensed_contig_33332|TPR_consensed_contig_92493	5.42880264190738	4.88425488839343	48.5573420583029	2.9039769794694e-15	6.30572531792767e-15	25.6206446294379
TDU_consensed_contig_41680|TPR_consensed_contig_17074	1.4141660474973	1.35560203677397	8.58876600200907	1.67729978829403e-06	1.97076898469424e-06	5.03954440276067
TDU_consensed_contig_33741|TPR_consensed_contig_92566	6.99510001888305	6.93385200028196	83.399970414389	4.19842152264825e-18	1.8426203802038e-17	31.9749138960087
TDU_consensed_contig_38105|TPR_consensed_contig_86114	6.05997641138956	6.02049168387339	65.3720059960194	7.99614991473647e-17	2.32617354314309e-16	29.1569128402584
TDU_consensed_contig_69660|TPR_consensed_contig_105344	5.93230303692644	5.88499197187896	84.0056790478175	3.84629612773412e-18	1.71477885800168e-17	31.9506613648954
TDU_consensed_contig_63721|TPR_consensed_contig_15160	5.30843662460194	5.11537996363978	68.493527673996	4.54863760950678e-17	1.4041687199168e-16	29.6277569410168
TDU_consensed_contig_4784|TPR_consensed_contig_100829	6.59821520076623	6.32062727952631	90.306172745078	1.60246962882748e-18	8.47834898177979e-18	32.8073300700443
TDU_consensed_contig_37031|TPR_consensed_contig_55762	1.06123725460535	1.04672798874283	5.587107651557	0.000114103905692081	0.000127120370120503	0.652044548506561
TDU_consensed_contig_39314|TPR_consensed_contig_13802	8.79379273020003	8.65442990716847	137.119484092519	1.01782190281223e-20	3.63656297459002e-19	37.123070011098
TDU_consensed_contig_21959|TPR_consensed_contig_54355	4.22121213970355	3.65577770574715	49.8870297737881	2.09602837248513e-15	4.64679919065035e-15	25.8946179425034
TDU_consensed_contig_40793|TPR_consensed_contig_75282	5.87106658895193	5.82392265737666	77.401683359498	1.0361547311231e-17	3.90849890583871e-17	31.052264555409
TDU_consensed_contig_13271|TPR_consensed_contig_101541	1.27349796629663	1.29755974684077	5.6227032545201	0.000107780294815608	0.000120180950713624	0.677188442070925
TDU_consensed_contig_32973|TPR_consensed_contig_100500	5.15756489293642	5.07179279691428	58.6136416219137	2.99098595219636e-16	7.68731875808928e-16	27.8391181713069
TDU_consensed_contig_32521|TPR_consensed_contig_77966	3.47301260933619	3.04042109390168	34.6327979268704	1.69990728160681e-13	3.01713471863989e-13	21.5555543322893
TDU_consensed_contig_26134|TPR_consensed_contig_11877	4.01726602785197	3.72059841870832	34.1831654444719	1.98878370729933e-13	3.50715819915994e-13	21.3869047676659
TDU_consensed_contig_4906|TPR_consensed_contig_82072	5.14179242452685	5.1520529419458	65.4016590203298	7.95241855876916e-17	2.31544307362498e-16	29.0891794669812
TDU_consensed_contig_20693|TPR_consensed_contig_101866	7.53009593710677	7.49430635754261	57.5452174228723	3.73560389746313e-16	9.44794933887297e-16	27.67002770111
